"ENSMUSG"	"row_names"
"ENSMUSG00000005413"	351
"ENSMUSG00000022676"	352
"ENSMUSG00000044338"	353
"ENSMUSG00000021062"	354
"ENSMUSG00000079560"	355
"ENSMUSG00000033004"	356
"ENSMUSG00000079557"	357
"ENSMUSG00000040435"	358
"ENSMUSG00000062393"	359
"ENSMUSG00000025332"	360
"ENSMUSG00000038146"	361
"ENSMUSG00000037010"	362
"ENSMUSG00000067547"	363
"ENSMUSG00000074971"	364
"ENSMUSG00000052854"	365
"ENSMUSG00000061527"	366
"ENSMUSG00000028464"	367
"ENSMUSG00000001911"	368
"ENSMUSG00000036144"	369
"ENSMUSG00000089698"	370
"ENSMUSG00000040225"	371
"ENSMUSG00000064345"	372
"ENSMUSG00000021186"	373
"ENSMUSG00000023886"	374
"ENSMUSG00000093954"	375
"ENSMUSG00000068699"	376
"ENSMUSG00000041482"	377
"ENSMUSG00000064360"	378
"ENSMUSG00000052727"	379
"ENSMUSG00000101939"	380
"ENSMUSG00000015647"	381
"ENSMUSG00000097336"	382
"ENSMUSG00000021217"	383
"ENSMUSG00000020120"	384
"ENSMUSG00000058571"	385
"ENSMUSG00000032473"	386
"ENSMUSG00000097391"	387
"ENSMUSG00000051790"	388
"ENSMUSG00000075316"	389
"ENSMUSG00000058006"	390
"ENSMUSG00000064341"	391
"ENSMUSG00000047888"	392
"ENSMUSG00000030680"	393
"ENSMUSG00000050299"	394
"ENSMUSG00000089704"	395
"ENSMUSG00000050708"	396
"ENSMUSG00000022672"	397
"ENSMUSG00000109564"	398
"ENSMUSG00000040459"	399
"ENSMUSG00000019820"	400
"ENSMUSG00000038403"	401
"ENSMUSG00000097451"	402
"ENSMUSG00000037025"	403
"ENSMUSG00000041301"	404
"ENSMUSG00000074505"	405
"ENSMUSG00000074643"	406
"ENSMUSG00000111497"	407
"ENSMUSG00000046318"	408
"ENSMUSG00000007659"	409
"ENSMUSG00000092035"	410
"ENSMUSG00000026614"	411
"ENSMUSG00000040690"	412
"ENSMUSG00000024803"	413
"ENSMUSG00000026043"	414
"ENSMUSG00000030878"	415
"ENSMUSG00000053199"	416
"ENSMUSG00000030655"	417
"ENSMUSG00000047497"	418
"ENSMUSG00000048078"	419
"ENSMUSG00000019997"	420
"ENSMUSG00000038056"	421
"ENSMUSG00000030257"	422
"ENSMUSG00000029193"	423
"ENSMUSG00000014602"	424
"ENSMUSG00000023411"	425
"ENSMUSG00000033578"	426
"ENSMUSG00000045312"	427
"ENSMUSG00000034324"	428
"ENSMUSG00000112690"	429
"ENSMUSG00000070509"	430
"ENSMUSG00000027070"	431
"ENSMUSG00000031010"	432
"ENSMUSG00000040407"	433
"ENSMUSG00000023484"	434
"ENSMUSG00000038530"	435
"ENSMUSG00000037287"	436
"ENSMUSG00000027797"	437
"ENSMUSG00000023048"	438
"ENSMUSG00000095195"	439
"ENSMUSG00000025089"	440
"ENSMUSG00000041828"	441
"ENSMUSG00000070733"	442
"ENSMUSG00000044365"	443
"ENSMUSG00000052353"	444
"ENSMUSG00000084349"	445
"ENSMUSG00000055629"	446
"ENSMUSG00000020053"	447
"ENSMUSG00000019874"	448
"ENSMUSG00000044258"	449
"ENSMUSG00000034648"	450
"ENSMUSG00000073664"	451
"ENSMUSG00000061603"	452
"ENSMUSG00000107705"	453
"ENSMUSG00000054675"	454
"ENSMUSG00000030218"	455
"ENSMUSG00000113948"	456
"ENSMUSG00000028373"	457
"ENSMUSG00000021134"	458
"ENSMUSG00000051159"	459
"ENSMUSG00000030409"	460
"ENSMUSG00000045114"	461
